2015-08-10 10:44:51 DEBUG logging:55 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2015-08-10 10:44:51 INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2015-08-10 10:44:51 INFO  Version:54 - HHH000412: Hibernate Core {4.3.9.Final}
2015-08-10 10:44:51 INFO  Environment:239 - HHH000206: hibernate.properties not found
2015-08-10 10:44:51 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration boolean -> org.hibernate.type.BooleanType@3cee11e1
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration boolean -> org.hibernate.type.BooleanType@3cee11e1
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3cee11e1
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1c0d0745
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@51394772
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration yes_no -> org.hibernate.type.YesNoType@2f5a3f3b
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration byte -> org.hibernate.type.ByteType@453be14
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration byte -> org.hibernate.type.ByteType@453be14
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@453be14
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration character -> org.hibernate.type.CharacterType@6a35ab2e
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration char -> org.hibernate.type.CharacterType@6a35ab2e
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6a35ab2e
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration short -> org.hibernate.type.ShortType@11fdbf0f
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration short -> org.hibernate.type.ShortType@11fdbf0f
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@11fdbf0f
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration integer -> org.hibernate.type.IntegerType@7fd28f0e
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration int -> org.hibernate.type.IntegerType@7fd28f0e
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7fd28f0e
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration long -> org.hibernate.type.LongType@7773054a
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration long -> org.hibernate.type.LongType@7773054a
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7773054a
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration float -> org.hibernate.type.FloatType@46a6dfd4
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration float -> org.hibernate.type.FloatType@46a6dfd4
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@46a6dfd4
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration double -> org.hibernate.type.DoubleType@124b0265
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration double -> org.hibernate.type.DoubleType@124b0265
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@124b0265
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@53c4b0a9
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@53c4b0a9
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2bd2edaf
